label,label_id
https://dbpedia.org/ontology/WrittenWork,0
https://dbpedia.org/ontology/Person,1
https://dbpedia.org/ontology/Language,2
https://dbpedia.org/ontology/Organisation,3
https://dbpedia.org/ontology/dateTime,4
https://dbpedia.org/ontology/boolean,5
https://dbpedia.org/ontology/date,6
https://dbpedia.org/ontology/time,7
https://dbpedia.org/ontology/Hotel,8
https://dbpedia.org/ontology/Place,9
https://dbpedia.org/ontology/Country,10
https://dbpedia.org/ontology/Locality,11
https://dbpedia.org/ontology/Street,12
https://dbpedia.org/ontology/Image,13
https://dbpedia.org/ontology/PostalCode,14
https://dbpedia.org/ontology/review,15
https://dbpedia.org/ontology/Identifier,16
https://dbpedia.org/ontology/Currency,17
https://dbpedia.org/ontology/Museum,18
https://dbpedia.org/ontology/Region,19
https://dbpedia.org/ontology/Song,20
https://dbpedia.org/ontology/Album,21
https://dbpedia.org/ontology/MusicalArtist,22
https://dbpedia.org/ontology/price,23
https://dbpedia.org/ontology/address,24
https://dbpedia.org/ontology/day,25
https://dbpedia.org/ontology/List,26
https://dbpedia.org/ontology/energy,27
https://dbpedia.org/ontology/duration,28
https://dbpedia.org/ontology/mass,29
https://dbpedia.org/ontology/Restaurant,30
https://dbpedia.org/ontology/Website,31
https://dbpedia.org/ontology/SportsTeam,32
https://dbpedia.org/ontology/SportsEvent,33
https://dbpedia.org/ontology/TelevisionEpisode,34
https://dbpedia.org/ontology/TelevisionShow,35
https://dbpedia.org/ontology/Book,36
https://dbpedia.org/ontology/Event,37
https://dbpedia.org/ontology/Category,38
https://dbpedia.org/ontology/Company,39
https://dbpedia.org/ontology/Film,40
https://dbpedia.org/ontology/rating,41
https://dbpedia.org/ontology/gender,42
https://dbpedia.org/ontology/distance,43
https://dbpedia.org/ontology/weight,44
https://dbpedia.org/ontology/brand,45
